                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8806,                 4.4671,                 1.3476,                      0,                      0,                      0,                      0,                 1.7773,                 4.1492,                 1.1499,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.4233,                 3.1203,                 1.0386,                0.00979,                0.79107,                0.26513,                 0.1516,                 1.1727,                 3.6235,                0.88605,             0.00023593,             0.00023593,             0.00023593
                      3,                 1.3583,                 2.0402,                  1.035,                0.01015,                 0.9875,                0.34286,                0.15513,                 1.0351,                 3.4509,                0.85981,             0.00035771,             0.00035771,             0.00035771
                      4,                 1.2024,                 1.6924,                 1.0125,                0.01037,                0.93929,                0.33886,                0.18252,                 1.0193,                 3.2987,                0.91688,             0.00047785,             0.00047785,             0.00047785
                      5,                 1.2187,                 1.7309,                0.99908,                0.01047,                      1,                0.48495,                0.30386,                0.97083,                 3.1622,                0.89581,             0.00059633,             0.00059633,             0.00059633
                      6,                 1.1844,                 1.4183,                0.98963,                0.01036,                      1,                0.64452,                0.44504,                 1.0872,                 2.9334,                0.92082,             0.00071316,             0.00071316,             0.00071316
                      7,                 1.1371,                 1.4216,                0.96651,                0.51989,                0.94447,                0.72521,                0.50727,                 1.0207,                 2.6914,                  0.918,             0.00082834,             0.00082834,             0.00082834
                      8,                 1.1195,                 1.3304,                0.99477,                      1,                0.15088,                0.76133,                0.46167,                 1.3168,                 2.6887,                 1.0516,             0.00094188,             0.00094188,             0.00094188
                      9,                  1.186,                 1.3222,                0.98619,                0.76449,                0.39645,                0.81462,                0.55827,                 1.1332,                  1.981,                 0.9629,              0.0010538,              0.0010538,              0.0010538
                     10,                  1.151,                  1.276,                0.98416,                0.72719,                0.74751,                0.82723,                0.59938,                0.99579,                 1.8857,                0.92079,               0.001164,               0.001164,               0.001164
                     11,                  1.097,                 1.3049,                0.98178,                0.70412,                0.96429,                0.85393,                0.61401,                  1.046,                 1.4375,                 0.9617,              0.0011675,              0.0011675,              0.0011675
